codigo,codCliente,descricao,alerta
4,100000,NFe+,URL Contrato Ausente | Diferença Valor (82.7%)
11,100004,eGestor 4 - Bronze,URL Contrato Ausente | Diferença Valor (71.4%)
12,100005,eGestor 4 - Bronze,URL Contrato Ausente
14,100007,eGestor 4 - Ultra,URL Contrato Ausente
17,100008,Site institucional,URL Contrato Ausente
22,100009,eGestor 4 - Bronze,Diferença Valor (50.2%) | Gap Cobrança (62 dias)
35,100015,eGestor 4 - Bronze,Diferença Valor (50.1%)
59,100032,eGestor 4 - Ultra,Diferença Valor (30.0%)
62,100034,eGestor 4 - Bronze,Diferença Valor (36.4%)
72,100042,eGestor 4 - Bronze,Diferença Valor (36.4%)
90,100058,eGestor 4 - Plano Iniciante,Diferença Valor (30.0%)
92,100061,NFe+ Básico,Diferença Valor (32.0%)
93,100060,Revenda eGestor 4 - Avançado,URL Contrato Ausente | Diferença Valor (100.0%)
95,100060,Revenda NFe+,URL Contrato Ausente
100,100066,Site institucional,Diferença Valor (62.5%)
105,100071,NFe+ Básico,URL Contrato Ausente
110,100074,NFe+ Básico,URL Contrato Ausente
112,100077,NFe+ Básico,URL Contrato Ausente
118,100082,Revenda Básico NFe+,Diferença Valor (400.0%)
119,100084,NFe+ Básico,URL Contrato Ausente
121,100086,NFe+ Básico,URL Contrato Ausente | Gap Cobrança (90 dias)
123,100088,eGestor 4 - Ultra,URL Contrato Ausente
124,100089,Nfe+ Ilimitado,URL Contrato Ausente
125,100090,eGestor 4 - Plano Iniciante,URL Contrato Ausente
130,100095,eGestor 4 - Ultra,URL Contrato Ausente
135,100100,NFe+ Básico,URL Contrato Ausente
136,100101,eGestor 4 - Plano Iniciante,URL Contrato Ausente
145,100106,eGestor 4 - Avançado,Diferença Valor (31.7%)
146,100107,Revenda eGestor 4 - Ultra,Diferença Valor (460.0%)
152,100113,NFe+ Básico,URL Contrato Ausente
155,100116,eGestor 4 - Ultra,URL Contrato Ausente
162,100123,Site institucional,Diferença Valor (62.5%)
164,100104,NFe+ Básico,URL Contrato Ausente
175,100128,Nfe+ Ilimitado,URL Contrato Ausente
176,100133,Revenda eGestor 4 - Ultra,Diferença Valor (438.3%)
177,100135,Revenda Básico NFe+,URL Contrato Ausente | Diferença Valor (433.3%)
180,100134,eGestor 4 - Básico,URL Contrato Ausente | Diferença Valor (83.2%)
182,100139,NFe+ Básico,URL Contrato Ausente
183,100140,eGestor 4 - Bronze,URL Contrato Ausente
192,100149,NFe+ Básico,URL Contrato Ausente
208,100140,Site institucional,URL Contrato Ausente
222,100171,Revenda NFe+,URL Contrato Ausente | Diferença Valor (200.0%)
225,100174,Revenda eGestor 4 - Ultra,URL Contrato Ausente | Diferença Valor (100.2%)
229,100177,Revenda Básico NFe+,Diferença Valor (449.0%)
230,100167,Revenda eGestor 4 - Ultra,URL Contrato Ausente | Diferença Valor (100.2%)
233,100181,eGestor 4 - Plano Ultra,URL Contrato Ausente
234,100182,eGestor 4 - Plano Avançado,URL Contrato Ausente | Diferença Valor (30.0%)
236,100184,eGestor 4 - Módulo NFe,Diferença Valor (79.0%)
237,100184,eGestor 4 - Módulo NFCe,Diferença Valor (79.0%)
242,100187,eGestor 4 - Plano Ultra,Diferença Valor (30.0%)
244,100188,Revenda NFeMais - Plano Ilimitado,URL Contrato Ausente | Diferença Valor (200.0%)
245,100189,Old eGestor 4 - Basic,URL Contrato Ausente | Diferença Valor (150.3%)
247,100191,NFeMais - Plano Ilimitado,URL Contrato Ausente
250,100194,eGestor 4 - Plano Ultra,Gap Cobrança (95 dias)
252,100196,eGestor 4 - Plano Ultra,Diferença Valor (30.0%)
255,100199,NFeMais - Plano Básico,URL Contrato Ausente
257,100201,NFeMais - Plano Básico,URL Contrato Ausente
259,100203,Revenda eGestor 4 - Plano Avançado,Diferença Valor (220.0%)
262,100206,NFeMais - Plano Básico,URL Contrato Ausente
267,100211,NFeMais - Plano Básico,URL Contrato Ausente
268,100213,NFeMais - Plano Ilimitado,URL Contrato Ausente
270,100177,Revenda Site - Parceiro,Diferença Valor (33.3%)
275,100218,eGestor 4 - Plano Ultra,URL Contrato Ausente | Gap Cobrança (68 dias)
285,100225,eGestor 4 - Plano Iniciante,Diferença Valor (30.0%)
290,100229,Revenda eGestor 4 - Plano Ultra,Diferença Valor (130.9%)
294,100229,Revenda Site - Parceiro,URL Contrato Ausente | Diferença Valor (33.3%)
295,100234,NFeMais - Plano Iniciante,URL Contrato Ausente
298,100236,eGestor 4 - Plano Iniciante,Diferença Valor (38.1%)
300,100183,GetCommerce,Diferença Valor (33.1%)
314,100249,NFeMais - Plano Básico,URL Contrato Ausente
315,100250,eGestor 4 - Plano Bronze,URL Contrato Ausente
319,100099,eGestor 4 - Plano Ouro,URL Contrato Ausente
339,100267,NFeMais - Plano Ilimitado,URL Contrato Ausente | Gap Cobrança (92 dias)
346,100276,NFeMais - Plano Básico,URL Contrato Ausente
349,100278,NFeMais - Plano Básico,URL Contrato Ausente
351,100280,NFeMais - Plano Básico,URL Contrato Ausente
352,100281,NFeMais - Plano Básico,URL Contrato Ausente
354,100285,NFeMais - Plano Básico,URL Contrato Ausente
361,100291,Revenda eGestor 4 - Plano Ultra,Diferença Valor (130.9%)
369,100296,eGestor 4 - Plano Avançado,Diferença Valor (30.0%)
372,100300,NFeMais - Plano Básico,URL Contrato Ausente
378,100303,NFeMais - Plano Básico,URL Contrato Ausente
380,100203,Revenda NFeMais - Plano Básico,URL Contrato Ausente | Diferença Valor (33.3%)
387,100310,Revenda NFeMais - Plano Básico,Diferença Valor (300.0%)
389,100312,Revenda NFeMais - Plano Básico,URL Contrato Ausente | Diferença Valor (400.0%)
390,100313,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente | Diferença Valor (400.0%)
391,100314,NFeMais - Plano Básico,URL Contrato Ausente
392,100313,Revenda eGestor 4 - Bônus Parceiro,URL Contrato Ausente
396,100317,NFeMais - Plano Básico,URL Contrato Ausente
401,100323,NFeMais - Plano Básico,URL Contrato Ausente
402,100265,eGestor 4 - Plano Avançado,Gap Cobrança (365 dias)
407,100327,NFeMais - Plano Básico,URL Contrato Ausente
408,100328,eGestor 4 - Plano Avançado,Diferença Valor (30.0%)
409,100329,eGestor 4 - Plano Avançado,URL Contrato Ausente | Gap Cobrança (365 dias)
410,100331,NFeMais - Plano Ilimitado,URL Contrato Ausente
411,100332,eGestor 4 - Plano Avançado,URL Contrato Ausente | Gap Cobrança (365 dias)
412,100333,eGestor 4 - Plano Avançado,URL Contrato Ausente | Gap Cobrança (365 dias)
413,100334,NFeMais - Plano Básico,URL Contrato Ausente
414,100335,NFeMais - Plano Ilimitado,Gap Cobrança (365 dias)
415,100336,NFeMais - Plano Básico,URL Contrato Ausente
418,100338,NFeMais - Plano Básico,URL Contrato Ausente
426,100343,eGestor 4 - Plano Ultra,URL Contrato Ausente
427,100326,Revenda NFeMais - Plano Ilimitado,URL Contrato Ausente | Diferença Valor (200.0%)
429,100344,Revenda eGestor 4 - Plano Avançado,Diferença Valor (300.0%)
433,100348,NFeMais - Plano Básico,URL Contrato Ausente
434,100156,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente
435,100349,Revenda eGestor 4 - Plano Ultra,Diferença Valor (130.9%)
439,100352,NFeMais - Plano Básico,URL Contrato Ausente
441,100349,Revenda eGestor 4 - Bônus Parceiro,URL Contrato Ausente
442,100353,Revenda NFeMais - Plano Básico,URL Contrato Ausente | Diferença Valor (433.3%)
443,100354,Revenda eGestor 4 - Plano Ultra,Diferença Valor (284.9%)
444,100355,Revenda eGestor 4 - Plano Ultra,URL Contrato Ausente | Diferença Valor (54.0%)
446,100357,NFeMais - Plano Básico,Gap Cobrança (92 dias)
447,100358,NFeMais - Plano Básico,URL Contrato Ausente
448,100359,eGestor 4 - Plano Ultra,URL Contrato Ausente
449,100360,NFeMais - Plano Básico,URL Contrato Ausente
450,100361,NFeMais - Plano Básico,URL Contrato Ausente
451,100363,NFeMais - Plano Básico,URL Contrato Ausente
455,100364,Revenda eGestor 4 - Plano Avançado,URL Contrato Ausente | Diferença Valor (100.0%)
